year,origin,amount
1988,MCO,72723
1988,DAY,35562
1988,RSW,17766
1988,ORD,271494
1988,SAT,33937
1988,FLL,39978
1988,JAX,24305
1988,PBI,25841
1988,PIT,118068
1988,MCI,44876
1988,TPA,60204
1988,CMH,26993
1988,MDW,19447
1988,AUS,28983
1988,DFW,216849
1988,COS,10508
1988,IND,37399
1988,DEN,161146
1988,MSN,5526
1988,DTW,108114
1988,TUL,25423
1988,BDL,31167
1988,IAD,50979
1988,CLE,59233
1988,SDF,23719
1988,MSP,95265
1988,IAH,85012
1988,SRQ,11820
1988,DSM,13524
1988,SLC,67710
1988,FSD,5723
1988,OKC,25564
1988,ICT,11890
1988,MLI,5510
1988,MSY,40943
1988,HOU,56990
1988,ATL,259731
1988,CMI,2218
1988,PIA,3203
1988,BNA,55696
1988,MKE,23148
1988,OMA,18111
1988,LEX,8397
1988,RDU,61264
1988,LIT,15084
1988,CID,5063
1988,SGF,2411
1988,MDT,6683
1988,SUX,3389
1988,LNK,5312
1988,TOL,3720
1988,ALO,116
1988,RST,2788
1988,MEM,74380
1988,ANC,13641
1988,OGG,3474
1988,FAI,3603
1988,KOA,612
1988,MBS,3529
1988,RAP,2775
1988,LIH,571
1988,SBA,3270
1988,PWM,7264
1988,ROC,22910
1988,ALB,12448
1988,TYS,9003
1988,GRR,10482
1988,PVD,12678
1988,JAN,9769
1988,BUF,27704
1988,BIL,6240
1988,GTF,3929
1988,BHM,18585
1988,HSV,6360
1988,BGR,2131
1988,BOI,6623
1988,MHT,2800
1988,CAK,4099
1988,BTV,6882
1988,ABE,4947
1988,RIC,17751
1988,SAV,10948
1988,CAE,10686
1988,GUC,153
1988,ELP,23878
1988,CRW,4641
1988,FAR,2916
1988,HPN,2212
1988,ILM,3730
1988,RDD,19
1988,ACV,19
1988,DAL,35638
1988,LBB,9733
1988,AMA,7608
1988,CRP,5539
1988,HRL,6676
1988,MAF,9253
1988,PNS,7096
1988,GSP,9612
1988,MOB,8067
1988,TLH,8706
1988,AVP,2273
1988,GNV,2586
1988,DAB,6375
1988,MLB,4812
1988,STT,3152
1988,STX,2580
1988,PUB,1342
1988,DRO,706
1988,GJT,2267
1988,YUM,1766
1988,FLG,2631
1988,GCN,1876
1988,ERI,2285
1988,GRB,2442
1988,FWA,4929
1988,GPT,1130
1988,LSE,1725
1988,BIS,4113
1988,VPS,1262
1988,AZO,4027
1988,BZN,3597
1988,DLH,1377
1988,GFK,1065
1988,EAU,1348
1988,MOT,1886
1988,ATW,1211
1988,SBN,2715
1988,MSO,2665
1988,MGM,3622
1988,BTR,8767
1988,SHV,7572
1988,CHA,5185
1988,PFN,710
1988,LAN,3346
1988,HDN,453
1988,CWA,1698
1988,FAY,4268
1988,AVL,2321
1988,OAJ,1805
1988,HTS,2328
1988,TRI,3205
1988,FNT,1367
1988,AGS,3218
1988,ORH,2859
1988,ISO,1439
1988,EVV,2594
1988,APF,807
1988,EYW,2230
1988,ITH,2370
1988,ELM,2764
1988,MFE,1689
1988,GUM,1733
1988,YAP,235
1988,ROR,368
1988,SPN,1166
1988,BFL,1281
1988,CPR,1391
1988,LFT,1219
1988,MLU,2540
1988,CSG,1034
1988,IDA,2157
1988,JAC,1684
1988,HLN,1076
1988,FCA,722
1988,JNU,3349
1988,BTM,718
1988,PIE,768
1988,TVL,959
1988,PHF,1071
1988,BET,584
1988,OME,990
1988,OTZ,906
1988,SCC,557
1988,KTN,2211
1988,CDV,663
1988,YAK,638
1988,SIT,1371
1988,PSG,664
1988,WRG,666
1988,ACY,447
1988,GST,86
1988,DET,2002
1988,ROP,1
1988,BFI,1
1989,SFO,126406
1989,DEN,138407
1989,HNL,17223
1989,LIH,347
1989,PHL,75422
1989,OGG,3278
1989,IAD,50832
1989,EWR,113843
1989,LAX,163487
1989,KOA,692
1989,ORD,261259
1989,MKE,24232
1989,IAH,87830
1989,MSY,40689
1989,RIC,16051
1989,SEA,73754
1989,FLL,36317
1989,MCO,70669
1989,BWI,70757
1989,HOU,55931
1989,MCI,38296
1989,SJC,45582
1989,CMH,25623
1989,OMA,17566
1989,ORF,24334
1989,BOS,91600
1989,ABQ,30882
1989,SMF,25609
1989,OKC,23783
1989,SGF,2212
1989,SLC,68623
1989,ONT,36306
1989,SAN,61349
1989,BUF,26227
1989,LGB,11625
1989,MIA,67294
1989,BDL,29154
1989,IND,40567
1989,TPA,54705
1989,SYR,27089
1989,PIT,113650
1989,STL,128097
1989,PDX,40776
1989,CLT,109552
1989,PHX,130180
1989,CVG,59945
1989,MBS,3844
1989,ATL,224036
1989,DSM,12304
1989,LAS,78382
1989,AUS,28255
1989,JAN,8961
1989,MEM,66790
1989,DTW,115873
1989,SRQ,11597
1989,MSP,99072
1989,DFW,228360
1989,PSP,5809
1989,MDT,6976
1989,FAT,5271
1989,BGR,2102
1989,PWM,8474
1989,ROC,21181
1989,MDW,21965
1989,FAR,2788
1989,CHS,11507
1989,SAV,9351
1989,LGA,104583
1989,ANC,13479
1989,FSD,5464
1989,OAK,28156
1989,CLE,61875
1989,CAE,8958
1989,TUL,23777
1989,HPN,2240
1989,GSO,18994
1989,RDU,60458
1989,DAY,35577
1989,GRR,10044
1989,MSN,6072
1989,JAX,22793
1989,BNA,58219
1989,COS,10412
1989,SAT,33451
1989,CID,5479
1989,PBI,26082
1989,GEG,10429
1989,LNK,4765
1989,PVD,13179
1989,BIL,5264
1989,SBA,3470
1989,ELP,24865
1989,SDF,20446
1989,TUS,18927
1989,SNA,29848
1989,ICT,12483
1989,BUR,21081
1989,ABE,4959
1989,RAP,2436
1989,GTF,3192
1989,LIT,15008
1989,ALB,13651
1989,RNO,17929
1989,BHM,17597
1989,HSV,7239
1989,BOI,6707
1989,DCA,82820
1989,SUX,2411
1989,TYS,9139
1989,MHT,3417
1989,EUG,4307
1989,MLI,4306
1989,BTV,6765
1989,PIA,2070
1989,FAI,3330
1989,MFR,2148
1989,MRY,2157
1989,JFK,48606
1989,RSW,17045
1989,ERI,2121
1989,PHF,1070
1989,PSC,1302
1989,ISP,6673
